model,accuracy,recall,specificity,precision,f1,roc_auc,average_precision
HistGradientBoosting,0.6316666666666667,0.41700404858299595,0.7818696883852692,0.5722222222222222,0.48243559718969553,0.6711587205101444,0.5473061934186152
Dummy baseline,0.5883333333333334,0.0,1.0,0.0,0.0,0.5,0.4116666666666667
