feature,coefficient,odds_ratio,abs_coefficient
adherence_score,-0.40244454320018747,0.668683420940538,0.40244454320018747
bnp,0.35365924226467577,1.4242697728380758,0.35365924226467577
ace_inhibitor,-0.20971935147765317,0.8108117671663067,0.20971935147765317
age,0.20463761920700047,1.2270803140461715,0.20463761920700047
beta_blocker,-0.18103514795388395,0.8344060305156987,0.18103514795388395
creatinine,0.13312054975613122,1.142387704589695,0.13312054975613122
distance_to_hospital_km,0.12039015756378774,1.127936838830762,0.12039015756378774
sodium,-0.11688753123072128,0.8896852493417472,0.11688753123072128
systolic_bp,0.07764485693232279,1.0807387736236391,0.07764485693232279
diuretic,0.06244986141852825,1.0644410880136868,0.06244986141852825
bmi,0.04986613978273644,1.051130382416871,0.04986613978273644
income_level_Medium,-0.03811553548839452,0.9626017198065049,0.03811553548839452
gender_Male,-0.03798402200216153,0.9627283232393774,0.03798402200216153
heart_rate,-0.035757194591801086,0.9648745418005756,0.035757194591801086
income_level_Low,0.005136741017998532,1.0051499566909483,0.005136741017998532
