model,accuracy,recall,specificity,precision,f1,roc_auc,average_precision
Random Forest,0.6283333333333333,0.3805668016194332,0.8016997167138811,0.573170731707317,0.45742092457420924,0.6812285671686297,0.5716981320317569
Dummy baseline,0.5883333333333334,0.0,1.0,0.0,0.0,0.5,0.4116666666666667
