threshold,accuracy,precision,recall,f1,predicted_positive_rate
0.3,0.5833333333333334,0.4965986394557823,0.8866396761133604,0.6366279069767442,0.735
0.4,0.6366666666666667,0.546031746031746,0.6963562753036437,0.6120996441281139,0.525
0.5,0.6283333333333333,0.5705882352941176,0.39271255060728744,0.46522781774580335,0.2833333333333333
0.6,0.6216666666666667,0.6515151515151515,0.17408906882591094,0.2747603833865815,0.11
0.7,0.5916666666666667,0.5625,0.03643724696356275,0.06844106463878327,0.02666666666666667
