metric,mean,std
accuracy,0.6491666666666667,0.017209897023386145
precision,0.6030415035120184,0.030293265377904215
recall,0.4316002666256473,0.027768289727375613
f1,0.5027303496460429,0.025735105977826425
roc_auc,0.673082124680474,0.0271386785220375
average_precision,0.5753047039443361,0.02281235056145191
