learning_rate,max_leaf_nodes,mean_cv_auroc,std_cv_auroc,rank
0.05,15,0.6769978016821027,0.01517510789696399,1
0.05,31,0.6665858073515298,0.015789185525718778,2
0.1,15,0.6636436700407502,0.011903388568729342,3
0.1,31,0.6561829374010779,0.019617213883755837,4
