model,accuracy,recall,specificity,f1,roc_auc,precision,average_precision
Logistic regression,0.6283333333333333,0.3927125506072874,0.7932011331444759,0.4652278177458033,0.6898189033271782,0.5705882352941176,0.5635825686648577
Random Forest,0.6283333333333333,0.3805668016194332,0.8016997167138811,0.4574209245742092,0.6812285671686297,0.573170731707317,0.5716981320317569
HistGradientBoosting,0.6316666666666667,0.4170040485829959,0.7818696883852692,0.4824355971896955,0.6711587205101444,0.5722222222222222,0.5473061934186152
Dummy baseline,0.5883333333333334,0.0,1.0,0.0,0.5,0.0,0.4116666666666667
