model,accuracy,precision,recall,f1,roc_auc,average_precision
Logistic regression,0.6283333333333333,0.5705882352941176,0.39271255060728744,0.46522781774580335,0.6898189033271782,0.5635825686648577
Dummy baseline,0.5883333333333334,0.0,0.0,0.0,0.5,0.4116666666666667
